Gemeinde,Year,Abschnitt,Betrag in Euro
aichkirchen,2017,Außerschulische Jugenerziehung,137.16
aichkirchen,2017,Erwachsenenbildung,100.00
aichkirchen,2017,Summe,311442.13
aichkirchen,2018,Vorschulische Erziehung,208595.81
aichkirchen,2018,Allgemeinbildender Unterricht,94433.58
aichkirchen,2018,Sport und außerschulische Leibeserziehung,2580.21
aichkirchen,2018,Förderung des Unterrichtes,1500.00
aichkirchen,2018,Berufsb. Unterricht,770.41
aichkirchen,2018,Erwachsenenbildung,100.00
aichkirchen,2018,Außerschulische Jugenerziehung,99.31
aichkirchen,2018,Summe,308079.32
aichkirchen,2019,Vorschulische Erziehung,208206.85
aichkirchen,2019,Allgemeinbildender Unterricht,88186.95
aichkirchen,2019,Sport und außerschulische Leibeserziehung,16464.82
aichkirchen,2019,Förderung des Unterrichtes,1425.00
aichkirchen,2019,Berufsb. Unterricht,664.89
aichkirchen,2019,Außerschulische Jugenerziehung,103.31
aichkirchen,2019,Erwachsenenbildung,0.00
aichkirchen,2019,Summe,315051.82
aigen-schlägl,2007,Allgemeinbildender Unterricht,762876.72
aigen-schlägl,2007,Vorschulische Erziehung,378663.18
aigen-schlägl,2007,Förderung des Unterrichtes,58767.03
aigen-schlägl,2007,Berufsb. Unterricht,41273.59
aigen-schlägl,2007,Sport und außerschulische Leibeserziehung,30706.94
aigen-schlägl,2007,Erwachsenenbildung,17920.15
aigen-schlägl,2007,Außerschulische Jugenerziehung,9926.61
aigen-schlägl,2007,Summe,1300134.22
aigen-schlägl,2008,Allgemeinbildender Unterricht,973744.23
aigen-schlägl,2008,Vorschulische Erziehung,387698.64
aigen-schlägl,2008,Sport und außerschulische Leibeserziehung,55395.51
aigen-schlägl,2008,Förderung des Unterrichtes,54187.14
aigen-schlägl,2008,Berufsb. Unterricht,35563.50
aigen-schlägl,2008,Erwachsenenbildung,15889.32
aigen-schlägl,2008,Außerschulische Jugenerziehung,4059.07
aigen-schlägl,2008,Summe,1526537.41
aigen-schlägl,2009,Allgemeinbildender Unterricht,1030811.12
aigen-schlägl,2009,Vorschulische Erziehung,419739.50
aigen-schlägl,2009,Sport und außerschulische Leibeserziehung,66926.80
aigen-schlägl,2009,Förderung des Unterrichtes,66045.45
aigen-schlägl,2009,Berufsb. Unterricht,40899.50
aigen-schlägl,2009,Erwachsenenbildung,16397.99
aigen-schlägl,2009,Außerschulische Jugenerziehung,8763.49
aigen-schlägl,2009,Summe,1649583.85
aigen-schlägl,2010,Allgemeinbildender Unterricht,800680.55
aigen-schlägl,2010,Vorschulische Erziehung,438088.09
aigen-schlägl,2010,Berufsb. Unterricht,46951.04
aigen-schlägl,2010,Förderung des Unterrichtes,40873.55
aigen-schlägl,2010,Erwachsenenbildung,12907.05
aigen-schlägl,2010,Außerschulische Jugenerziehung,11578.64
aigen-schlägl,2010,Sport und außerschulische Leibeserziehung,8795.22
aigen-schlägl,2010,Summe,1359874.14
aigen-schlägl,2011,Allgemeinbildender Unterricht,590691.21
aigen-schlägl,2011,Vorschulische Erziehung,456936.52
aigen-schlägl,2011,Förderung des Unterrichtes,43224.27
aigen-schlägl,2011,Berufsb. Unterricht,22611.10
aigen-schlägl,2011,Außerschulische Jugenerziehung,16749.53
aigen-schlägl,2011,Erwachsenenbildung,12818.39
aigen-schlägl,2011,Sport und außerschulische Leibeserziehung,6231.21
aigen-schlägl,2011,Summe,1149262.23
aigen-schlägl,2012,Allgemeinbildender Unterricht,621530.32
aigen-schlägl,2012,Vorschulische Erziehung,496013.48
aigen-schlägl,2012,Förderung des Unterrichtes,42908.68
aigen-schlägl,2012,Berufsb. Unterricht,32456.49
aigen-schlägl,2012,Außerschulische Jugenerziehung,17935.63
aigen-schlägl,2012,Erwachsenenbildung,14243.85
aigen-schlägl,2012,Sport und außerschulische Leibeserziehung,11997.35
aigen-schlägl,2012,Summe,1237085.8
aigen-schlägl,2013,Allgemeinbildender Unterricht,662446.54
aigen-schlägl,2013,Vorschulische Erziehung,510733.82
aigen-schlägl,2013,Förderung des Unterrichtes,49315.40
aigen-schlägl,2013,Berufsb. Unterricht,33545.68
aigen-schlägl,2013,Außerschulische Jugenerziehung,20196.96
aigen-schlägl,2013,Erwachsenenbildung,8321.19
aigen-schlägl,2013,Sport und außerschulische Leibeserziehung,7902.41
aigen-schlägl,2013,Summe,1292462
aigen-schlägl,2014,Allgemeinbildender Unterricht,1066283.96
aigen-schlägl,2014,Vorschulische Erziehung,537505.49
aigen-schlägl,2014,Förderung des Unterrichtes,46366.92
aigen-schlägl,2014,Berufsb. Unterricht,29950.60
aigen-schlägl,2014,Außerschulische Jugenerziehung,28928.74
aigen-schlägl,2014,Sport und außerschulische Leibeserziehung,15437.97
aigen-schlägl,2014,Erwachsenenbildung,8333.82
aigen-schlägl,2014,Summe,1732807.5
aigen-schlägl,2015,Vorschulische Erziehung,369012.19
aigen-schlägl,2015,Allgemeinbildender Unterricht,326516.67
aigen-schlägl,2015,Berufsb. Unterricht,14122.90
aigen-schlägl,2015,Förderung des Unterrichtes,8545.34
aigen-schlägl,2015,Sport und außerschulische Leibeserziehung,7054.72
aigen-schlägl,2015,Erwachsenenbildung,3575.77
aigen-schlägl,2015,Außerschulische Jugenerziehung,3254.21
aigen-schlägl,2015,Forschung und Wissenschaft,250.00
aigen-schlägl,2015,Summe,732331.8
aigen-schlägl,2016,Allgemeinbildender Unterricht,535860.01
aigen-schlägl,2016,Vorschulische Erziehung,527674.03
aigen-schlägl,2016,Förderung des Unterrichtes,58951.10
