Gemeinde,Year,View,Abschnitt,Betrag in Euro
alkoven,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",386.85788198298
alkoven,2011,prokopf,Summe,1883.7656067333
alkoven,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",437.00702500933
alkoven,2012,prokopf,Summe,1923.0457558791
alkoven,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",412.11525963149
alkoven,2013,prokopf,Summe,2156.1601209752
alkoven,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",294.0349646931
alkoven,2014,prokopf,Summe,2021.7918884664
alkoven,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",457.57910933333
alkoven,2015,prokopf,Summe,2493.8562595556
alkoven,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",471.56987258953
alkoven,2016,prokopf,Summe,2515.5773777548
alkoven,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",474.74153038389
alkoven,2017,prokopf,Summe,2414.1844672061
alkoven,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",566.16959906056
alkoven,2018,prokopf,Summe,2427.1875272605
alkoven,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",562.17367011664
alkoven,2019,prokopf,Summe,2483.2995892886
allerheiligen-im-mühlkreis,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",546.08100869565
allerheiligen-im-mühlkreis,2007,prokopf,Summe,1958.6554521739
allerheiligen-im-mühlkreis,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",479.16395886889
allerheiligen-im-mühlkreis,2008,prokopf,Summe,2217.0389288775
allerheiligen-im-mühlkreis,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",456.13423569599
allerheiligen-im-mühlkreis,2009,prokopf,Summe,2320.2040563621
allerheiligen-im-mühlkreis,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",359.822003367
allerheiligen-im-mühlkreis,2010,prokopf,Summe,1870.6848821549
allerheiligen-im-mühlkreis,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",391.48783760684
allerheiligen-im-mühlkreis,2011,prokopf,Summe,1823.4761794872
allerheiligen-im-mühlkreis,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",346.02004244482
allerheiligen-im-mühlkreis,2012,prokopf,Summe,1968.9330814941
